Function,Calls,Primitive Calls,Total Time (s),Cumulative Time (s),Time per Call (total),Time per Call (cumulative),Filename:Line
spec_from_file_location,19,19,0.000026,0.000045,0.000001,0.000002,<frozen importlib._bootstrap_external>:802
is_path,8,8,0.000020,0.000045,0.000002,0.000006,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/_util.py:9
<genexpr>,96,96,0.000034,0.000045,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multilevel.py:323
Union,1,1,0.000007,0.000045,0.000007,0.000045,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:694
_getencoder,4,4,0.000025,0.000045,0.000006,0.000011,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:445
<genexpr>,8,8,0.000003,0.000045,0.000000,0.000006,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:837
<method 'pop' of 'dict' objects>,128,128,0.000045,0.000045,0.000000,0.000000,~:0
_listdir,1,1,0.000006,0.000044,0.000006,0.000044,/opt/miniconda3/envs/FastEnv/lib/python3.12/glob.py:176
parent,90,90,0.000024,0.000043,0.000000,0.000000,<frozen importlib._bootstrap>:645
__getitem__,1,1,0.000002,0.000043,0.000002,0.000043,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1546
<genexpr>,96,96,0.000020,0.000042,0.000000,0.000000,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multidim.py:276
<built-in method builtins.next>,53,53,0.000014,0.000042,0.000000,0.000001,~:0
combine,4,4,0.000005,0.000042,0.000001,0.000010,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:834
<built-in method _struct.unpack_from>,102,102,0.000041,0.000041,0.000000,0.000000,~:0
i32le,4,4,0.000013,0.000041,0.000003,0.000010,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/_binary.py:60
__subclasscheck__,19,5,0.000004,0.000040,0.000000,0.000002,<frozen abc>:121
<method 'any' of 'numpy.ndarray' objects>,2,2,0.000012,0.000040,0.000006,0.000020,~:0
literal_eval,1,1,0.000006,0.000040,0.000006,0.000040,/opt/miniconda3/envs/FastEnv/lib/python3.12/ast.py:56
<built-in method builtins.hasattr>,145,145,0.000038,0.000039,0.000000,0.000000,~:0
release,19,19,0.000025,0.000039,0.000001,0.000002,<frozen importlib._bootstrap>:372
<built-in method _abc._abc_subclasscheck>,19,5,0.000034,0.000039,0.000002,0.000002,~:0
__getitem_inner__,1,1,0.000003,0.000039,0.000003,0.000039,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:1560
